YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
1954,Wimbledon,Jaroslav Drobny,Ken Rosewall,Czechoslovak,,,left,Grass / Outdoor,
1954,French Open,Tony Trabert,Sven Davidson,American,,,right,Clay,
1954,Australian Open,Mervyn Rose,Rex Hartwig,Australian,,,right,Grass,
1953,U.S. Open,Tony Trabert,"E. Victor Seixas, Jr.",American,,,right,outdoors,
1953,Wimbledon,E. Victor Seixas Jr.,Kurt Nielsen,American,,,right,Grass / Outdoor,
1953,French Open,Ken Rosewall,"E. Victor Seixas, Jr.",Australian,,,right,Clay,
1953,Australian Open,Ken Rosewall,Mervyn Rose,Australian,,,right,Grass,
1952,U.S. Open,Frank Sedgman,Gardnar Mulloy,Australian,,,right,outdoors,
1952,Wimbledon,Frank Sedgman,Jaroslav Drobny,Australian,,,right,Grass / Outdoor,
1952,French Open,Jaroslav Drobny,Frank Sedgman,Czechoslovak,,,left,Clay,
1952,Australian Open,Ken McGregor,Frank Sedgman,Australian,,,right,Grass,
1951,U.S. Open,Frank Sedgman,"E. Victor Seixas, Jr.",Australian,,,right,outdoors,
1951,Wimbledon,R. Savitt,Ken McGregor,American,,,right,Grass / Outdoor,
1951,French Open,Jaroslav Drobny,Eric Sturgess,Czechoslovak,,,left,Clay,
1951,Australian Open,Dick Savitt,Ken McGregor,American,,,right,Grass,
1950,U.S. Open,Arthur Larsen,Herbert Flam,American,,,right,outdoors,
1950,Wimbledon,J.E. Patty,Frank Sedgman,American,,,right,Grass / Outdoor,
1950,French Open,Budge Patty,Jaroslav Drobny,American,,,right,Clay,
1950,Australian Open,Frank Sedgman,Ken McGregor,Australian,,,right,Grass,
